Proto-sound	Sio	Sek	Kor	Mai	Kue	Tan	Kub	Des	Sir	Yup	Bas	Mak	Tuk	Bar	Tat	Kar	Pis	Tuy	Yur	Pir	Wan
*h	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0
*j	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
*k	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
*k	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
*k	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
*k	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
*kː	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*kˀ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*kˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*m	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*n	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*p	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
*p	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
*pˀ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*pˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*pˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*pˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*s	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0
*s	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0
*t	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
*t	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
*t	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
*ts 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*ts 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tsˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tsˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tː	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tˀ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
*tʃ	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
*w	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
*ʔ	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
*V	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
*V	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
*~V	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
*V	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
*~V	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
